Technique,Precision,Recall,F1,MAP,AUC,True Positives,False Positives,False Negatives
Naming Conventions,100.0,10.7,19.4,18.8,-,6,0,50
Naming Conventions - Contains,87.5,25.0,38.9,35.9,-,14,2,42
Longest Common Subsequence - Both,59.6,60.7,60.2,67.6,59.8,34,23,22
Longest Common Subsequence - Unit,70.8,60.7,65.4,69.4,65.1,34,14,22
Levenshtein Distance,70.6,42.9,53.3,57.9,55.8,24,10,32
Last Call Before Assert,53.1,30.4,38.6,38.0,-,17,15,39
Tarantula,68.0,60.7,64.2,70.6,68.0,34,16,22
TF-IDF,74.4,51.8,61.1,62.0,63.5,29,10,27
TF-IDF (Multiset),56.8,37.5,45.2,46.6,53.3,21,16,35
Simple Average,87.5,62.5,72.9,72.7,74.7,35,5,21
Copilot,60.3,78.6,68.2,73.3,-,44,29,12
